timestamp,open,high,low,close,volume
2020-02-19,20.3750,20.4200,20.3200,20.4200,219192
2020-02-18,20.4550,20.5600,20.3200,20.3600,371881
2020-02-14,21.0900,21.0900,20.9500,21.0200,334955
2020-02-13,20.9250,21.0300,20.8200,20.9699,259315
2020-02-12,21.1450,21.2100,21.1050,21.1700,275819
2020-02-11,21.1900,21.2000,21.1100,21.1100,425395
2020-02-10,21.0900,21.1700,21.0600,21.1425,453500
2020-02-07,21.3100,21.3700,21.2300,21.2700,284454
2020-02-06,21.4400,21.5075,21.4190,21.4500,194897
2020-02-05,21.1390,21.2800,21.1200,21.2150,282937
2020-02-04,20.9000,20.9200,20.7400,20.8200,653420
2020-02-03,20.2500,20.5000,20.2300,20.3500,373517
2020-01-31,20.4700,20.4800,20.2100,20.2700,335196
2020-01-30,20.3850,20.4400,20.2590,20.4400,289883
2020-01-29,20.7500,20.7600,20.5712,20.6800,261132
2020-01-28,20.6450,20.9100,20.6200,20.9100,412167
2020-01-27,20.3400,20.5070,20.2500,20.4420,389174
2020-01-24,20.9050,20.9400,20.6700,20.8000,562799
2020-01-23,20.6350,21.5900,20.4750,21.5900,1149219
2020-01-22,20.8700,20.9000,20.7100,20.7500,268330
2020-01-21,21.0400,21.0799,20.9500,20.9850,341924
2020-01-17,21.0300,21.0340,20.8620,20.9350,185320
2020-01-16,20.9200,20.9800,20.8500,20.9800,279720
2020-01-15,21.0400,21.1000,21.0000,21.0000,394871
2020-01-14,20.7680,20.8400,20.7300,20.8270,204001
2020-01-13,20.8300,21.0500,20.7500,21.0330,655802
2020-01-10,20.9600,21.0500,20.9300,20.9900,250840
2020-01-09,20.8400,20.8700,20.7501,20.8300,244465
2020-01-08,20.4400,20.7800,20.4400,20.7370,403784
2020-01-07,20.1700,20.1800,20.0400,20.0490,434714
2020-01-06,19.9950,20.1899,19.9900,20.1800,368529
2020-01-03,20.2200,20.3700,20.2000,20.2690,597330
2020-01-02,20.4900,20.9300,20.4500,20.7400,431653
2019-12-31,20.4500,20.6000,20.2500,20.2800,250984
2019-12-30,20.4100,20.4600,20.3000,20.3000,225211
2019-12-27,20.5400,20.5500,20.4700,20.4700,402167
2019-12-26,20.5600,20.6900,20.4500,20.6820,345490
2019-12-24,20.4350,20.5300,20.3700,20.5050,187529
2019-12-23,20.3200,20.4800,19.8900,20.4600,597448
2019-12-20,19.7100,19.8100,19.6300,19.7600,1175283
2019-12-19,19.7700,19.8800,19.7420,19.8200,660245
2019-12-18,19.6700,19.7900,19.6600,19.7400,567160
2019-12-17,19.7580,19.8100,19.5250,19.5990,372852
2019-12-16,19.9200,19.9900,19.9000,19.9700,341977
2019-12-13,19.7100,19.9515,19.7000,19.7800,272975
2019-12-12,19.1600,19.5000,19.1450,19.4700,414214
2019-12-11,19.1850,19.2770,19.1500,19.2300,221242
2019-12-10,18.9600,19.1600,18.8800,19.1300,231174
2019-12-09,19.0300,19.0980,19.0000,19.0250,227730
2019-12-06,19.0200,19.1500,18.9700,19.1200,219122
2019-12-05,19.2900,19.3200,19.1500,19.1700,135587
2019-12-04,19.1000,19.2500,19.0800,19.2400,199786
2019-12-03,18.6300,18.8900,18.5540,18.8800,183360
2019-12-02,18.7800,19.0900,18.6454,18.9300,502129
2019-11-29,18.8800,18.8940,18.8350,18.8800,217763
2019-11-27,19.1300,19.1800,19.1100,19.1400,176921
2019-11-26,19.0200,19.0400,18.9500,18.9800,200016
2019-11-25,19.0460,19.1600,19.0250,19.1600,253227
2019-11-22,18.8900,18.9600,18.8400,18.9300,365623
2019-11-21,18.9350,18.9900,18.8400,18.9400,363609
2019-11-20,19.2200,19.2600,18.9700,19.0400,298388
2019-11-19,19.6100,19.6100,19.4000,19.4200,334235
2019-11-18,19.3600,19.4500,19.3100,19.3900,200379
2019-11-15,19.3600,19.4460,19.3500,19.3800,352066
2019-11-14,19.3000,19.4300,19.2600,19.3700,169794
2019-11-13,19.4700,19.4800,19.3200,19.3800,230130
2019-11-12,19.3150,19.4300,19.3000,19.3800,195925
2019-11-11,19.4500,19.5000,19.4500,19.4600,157579
2019-11-08,19.5125,19.5300,19.3000,19.5200,217840
2019-11-07,19.8700,19.9000,19.7500,19.7600,140086
2019-11-06,19.8400,19.9080,19.8000,19.8550,227396
2019-11-05,19.8600,19.9000,19.7300,19.8700,183919
2019-11-04,19.7800,19.8900,19.7800,19.8550,358317
2019-11-01,19.5300,19.7500,19.5100,19.5600,526618
2019-10-31,19.4600,19.5300,19.3300,19.4400,1809922
2019-10-30,18.6600,18.7700,18.5300,18.7700,329303
2019-10-29,18.2900,18.3600,18.2100,18.2200,164384
2019-10-28,18.4300,18.4400,18.3205,18.3700,163344
2019-10-25,18.4700,18.5000,18.3600,18.4200,255451
2019-10-24,18.6000,18.6500,18.5200,18.6400,198860
2019-10-23,18.3900,18.5200,18.3520,18.5200,221908
2019-10-22,18.1250,18.1710,17.9500,17.9680,340087
2019-10-21,18.2400,18.3400,18.2300,18.2850,440034
2019-10-18,18.2550,18.3200,18.0800,18.1900,204004
2019-10-17,18.4300,18.4500,18.2600,18.2800,257425
2019-10-16,18.3100,18.3900,18.2580,18.2940,131144
2019-10-15,18.1300,18.5200,18.1300,18.3840,127972
2019-10-14,18.0420,18.1000,18.0000,18.0400,202378
2019-10-11,17.9600,18.0300,17.9000,17.9000,213442
2019-10-10,17.6300,17.7600,17.6000,17.6460,237275
2019-10-09,17.6000,17.6900,17.5425,17.5900,895599
2019-10-08,17.2250,17.5100,17.1600,17.3900,267253
2019-10-07,17.4600,17.4700,17.3200,17.3360,275205
2019-10-04,16.9600,17.5000,16.9600,17.5000,664603
2019-10-03,16.7300,16.8800,16.5900,16.8400,292855
2019-10-02,16.8650,16.9000,16.5000,16.7400,1386134
2019-10-01,17.4000,17.4300,17.0400,17.0900,487716
2019-09-30,17.7300,17.8200,17.6400,17.6900,207279
2019-09-27,17.7000,17.8100,17.6100,17.6400,161519
2019-09-26,17.7700,17.8700,17.6700,17.7200,512811
